400000 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
437447 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: UNITED BANK FOR AFRICA (TANZANIA), LTD. - TANZANIA, UNITED REPUBLIC OF
437448 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: ABSA BANK, LTD. - SOUTH AFRICA
437449 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: OPEN JOINT-STOCK COMPANY BPS-SBERBANK - BELARUS
437450 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: PT. BANK DBS INDONESIA - INDONESIA
437451 - TYPE:  CREDIT  | LEVEL:  INFINITE  | BANK: PT. BANK DBS INDONESIA - INDONESIA
437452 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: HABIB METROPOLITAN BANK, LTD. - PAKISTAN
437453 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: HABIB METROPOLITAN BANK, LTD. - PAKISTAN
437454 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437455 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: HABIB METROPOLITAN BANK, LTD. - PAKISTAN
437456 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: PT. BANK DBS INDONESIA - INDONESIA
437457 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: AIRWALLEX PTY, LTD. - AUSTRALIA
437458 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: PRIORBANK JSCB - BELARUS
437459 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: JS BANK, LTD. - PAKISTAN
437460 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: JS BANK, LTD. - PAKISTAN
437461 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: TIMER BANK PJSC - RUSSIAN FEDERATION
437462 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: TIMER BANK PJSC - RUSSIAN FEDERATION
437463 - TYPE:  CREDIT  | LEVEL:  INFINITE  | BANK: INTERNATIONAL COMMERCIAL BANK - RUSSIAN FEDERATION
437464 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: EMIRATES NBD - UNITED ARAB EMIRATES
437465 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437466 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: CREDIT UNION PAYMENT CENTER (LLC) - RUSSIAN FEDERATION
437467 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437468 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437469 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: UNIBANK CJSC - ARMENIA
437470 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: UNIBANK CJSC - ARMENIA
437471 - TYPE:  CREDIT  | LEVEL:  INFINITE  | BANK: UNIBANK CJSC - ARMENIA
437472 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: UNIBANK CJSC - ARMENIA
437473 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: UNIBANK - ARMENIA
437474 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: UNIBANK - ARMENIA
437475 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437476 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: BANK OF COMMERCE &amp; DEVELOPMENT JSC - LIBYAN ARAB JAMAHIRIYA
437477 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BGFIBANK SA - GABON
437478 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: BGFIBANK SA - GABON
437479 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BGFIBANK SA - GABON
437480 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: BGFIBANK SA - GABON
437481 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: BGFIBANK, S.A. - GABON
437482 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: 
437483 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: 
437484 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: 
437485 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437486 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: OJSC BTB BANK - AZERBAIJAN
437487 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: OJSC BTB BANK - AZERBAIJAN
437488 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BTA BANK CJSC - BELARUS
437489 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: BTA BANK CJSC - BELARUS
437490 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BTA BANK CJSC - BELARUS
437491 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437492 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437493 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: ZEMEN BANK S.C. - ETHIOPIA
437494 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: CREDIT LIBANAIS S.A.L. - LEBANON
437495 - TYPE:  CREDIT  | LEVEL:  INFINITE  | BANK: CREDIT LIBANAIS S.A.L. - LEBANON
437496 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: INDUSTRIAL BANK - IRAQ
437497 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437498 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437499 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437500 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: FOREIGN TRADE BANK OF CAMBODIA - CAMBODIA
437501 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: THE SOUTH INDIAN BANK, LTD. - INDIA
437502 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: SOUTH INDIAN BANK LTD. - INDIA
437503 - TYPE:  DEBIT  | LEVEL:  SIGNATURE  | BANK: THE SOUTH INDIAN BANK, LTD. - INDIA
437504 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: SOUTH INDIAN BANK LTD. - INDIA
437505 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: 
437506 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437507 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: EAST WEST BANKING CORPORATION - PHILIPPINES
437508 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: 
437509 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: SAMPATH BANK PLC - SRI LANKA
437510 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: SOCIAL ISLAMI BANK, LTD. - BANGLADESH
437511 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: ARARATBANK OJSC - ARMENIA
437512 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: ARARATBANK OJSC - ARMENIA
437513 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: ARARATBANK OJSC - ARMENIA
437514 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: ARARATBANK OJSC - ARMENIA
437515 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: BANK OF BARODA - INDIA
437516 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437517 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437518 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: INTERNATIONAL RESERVE BANK JSC - UKRAINE
437519 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: SOCIETE GENERALE MAURITANIE, S.A. - MAURITANIA
437520 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: VTB BANK (ARMENIA) CJSC - ARMENIA
437521 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: VTB BANK (ARMENIA) CJSC - ARMENIA
437522 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: VTB BANK (ARMENIA) CJSC - ARMENIA
437523 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: TSB BANK, LTD. - NEW ZEALAND
437524 - TYPE:  DEBIT  | LEVEL:  REWARDS  | BANK: JSCB OF SUPPORT TO COMMERCE AND BUSINESS SKB BANK - RUSSIAN FEDERATION
437525 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: MEEZAN BANK, LTD. - PAKISTAN
437526 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437527 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: PT. BANK TABUNGAN NEGARA (PERSERO) - INDONESIA
437528 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: PT. BANK TABUNGAN NEGARA (PERSERO) - INDONESIA
437529 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: PT BANK MANDIRI (PERSERO) TBK - INDONESIA
437530 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: CREDIT LIBANAIS S.A.L. - BAHRAIN
437531 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK FOR ELECTRIC POWER INDUSTRY PUBLIC LIMITED COMPANY - RUSSIAN FEDERATION
437532 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: BANK OF INDIA - INDIA
437533 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437534 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437535 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: CREDIMAX B.S.C. (CLOSED) - BAHRAIN
437536 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: LLC NATIONAL STANDARD CB - RUSSIAN FEDERATION
437537 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: LLC NATIONAL STANDARD CB - RUSSIAN FEDERATION
437538 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: LLC NATIONAL STANDARD CB - RUSSIAN FEDERATION
437539 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: HYUNDAI CARD COMPANY, LTD. - KOREA, REPUBLIC OF
437540 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: NATIONAL BANK TRUST OJSC - RUSSIAN FEDERATION
437541 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: NATIONAL BANK TRUST OJSC - RUSSIAN FEDERATION
437542 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437543 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: PJSC CB EUROBANK - UKRAINE
437544 - TYPE:  DEBIT  | LEVEL:  PREPAID PLATINUM  | BANK: NYMCARD PAYMENT SERVICES L.L.C. - UNITED ARAB EMIRATES
437545 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: QATAR NATIONAL BANK AL AHLI S.A.E. - EGYPT
437546 - TYPE:  CREDIT  | LEVEL:  INFINITE  | BANK: HDFC BANK, LTD. - INDIA
437547 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: AXIS BANK, LTD. - INDIA
437548 - TYPE:  DEBIT  | LEVEL:  PREPAID CORPORATE T&amp;E  | BANK: MAJID AL FUTTAIM FINANCE - UNITED ARAB EMIRATES
437549 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: THE SOUTH INDIAN BANK, LTD. - INDIA
437550 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: EAST WEST BANKING CORPORATION - PHILIPPINES
437551 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: ICICI BANK, LTD. - INDIA
437552 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: COMMUNITY BANK OF MARSHALL - UNITED STATES
437553 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: 
437554 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: VICTORIABANK - MOLDOVA, REPUBLIC OF
437555 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: NATIONAL DEVELOPMENT BANK PLC - SRI LANKA
437556 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: MIDBANK S.A.E - EGYPT
437557 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BLANC BANK LIMITED LIABILITY COMPANY - RUSSIAN FEDERATION
437558 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: BLANC BANK LIMITED LIABILITY COMPANY - RUSSIAN FEDERATION
437559 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: BLANC BANK LIMITED LIABILITY COMPANY - RUSSIAN FEDERATION
437560 - TYPE:  CREDIT  | LEVEL:  INFINITE  | BANK: INVESTMENT BANK VESTA (LLC) - RUSSIAN FEDERATION
437561 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: INVESTMENT BANK VESTA (LLC) - RUSSIAN FEDERATION
437562 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: BANK NEYVA LLC - RUSSIAN FEDERATION
437563 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: BANK NEYVA LLC - RUSSIAN FEDERATION
437564 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: BANK NEYVA LLC - RUSSIAN FEDERATION
437565 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: BANK NEYVA LLC - RUSSIAN FEDERATION
437566 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANK NEYVA LLC - RUSSIAN FEDERATION
437567 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: BANK NEYVA LLC - RUSSIAN FEDERATION
437568 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: JSCB FORA BANK - RUSSIAN FEDERATION
437569 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANKMUSCAT LTD. (S.A.O.G.) - OMAN
437570 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: THE SOUTH INDIAN BANK, LTD. - INDIA
437571 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437572 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: JSC BANK CONSTANTA - GEORGIA
437573 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: JSC BANK CONSTANTA - GEORGIA
437574 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: JSC BANK CONSTANTA - GEORGIA
437575 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437576 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANCO DA AFRICA OCIDENTAL - GUINEA-BISSAU
437577 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: BANCO DA AFRICA OCIDENTAL - GUINEA-BISSAU
437578 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: BANCO DE NEGOCIOS INTERNACIONAL S.A. (BNI) - ANGOLA
437579 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: INDUSIND BANK, LTD. - INDIA
437580 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: ACCESS MICROFINANCE BANK TANZANIA, LTD. - TANZANIA, UNITED REPUBLIC OF
437581 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: 
437582 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: 
437583 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437584 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK AL HABIB, LTD. - PAKISTAN
437585 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: BANK AL HABIB, LTD. - PAKISTAN
437586 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: CUSCAL, LTD. - AUSTRALIA
437587 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: CUSCAL, LTD. - AUSTRALIA
437588 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: CUSCAL, LTD. - AUSTRALIA
437589 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: CUSCAL, LTD. - AUSTRALIA
437590 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: CUSCAL, LTD. - AUSTRALIA
437591 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: CUSCAL, LTD. - AUSTRALIA
437592 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: BOC CREDIT CARD (INTERNATIONAL), LTD. - MACAU
437593 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: CUSCAL, LTD. - AUSTRALIA
437594 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: UNITED COMMERCIAL BANK - BANGLADESH
437595 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: SOCIAL ISLAMI BANK, LTD. - BANGLADESH
437596 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: SOCIAL ISLAMI BANK, LTD. - BANGLADESH
437597 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: SOCIAL ISLAMI BANK, LTD. - BANGLADESH
437598 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: 
437599 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: CIMB BANK BERHAD - MALAYSIA
437600 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437601 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437602 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437603 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437604 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437605 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437606 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437607 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437608 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437609 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437610 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437611 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437612 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437613 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437614 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437615 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437616 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437617 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437618 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437619 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437620 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437621 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437622 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437623 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: 
437624 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437625 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437626 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437627 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437628 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437629 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437630 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437631 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437632 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437633 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437634 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437635 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437636 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437637 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437638 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437639 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437640 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437641 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437642 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437643 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437644 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437645 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437646 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437647 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437648 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437649 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437650 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437651 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437652 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437653 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437654 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437655 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437656 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437657 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437658 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437659 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437660 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437661 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437662 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437663 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437664 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437665 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437666 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437667 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: 
437668 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437669 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437670 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437671 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437672 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437673 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437674 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437675 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437676 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437677 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437678 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437679 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437680 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437681 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437682 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437683 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437684 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: 
437685 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437686 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437687 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437688 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437689 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437690 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437691 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437692 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437693 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437694 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437695 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437696 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437697 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437698 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437699 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
437700 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: PT BANK PANIN TBK - INDONESIA
437701 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: PT BANK PANIN TBK - INDONESIA
437702 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: HABIB BANK, LTD. - PAKISTAN
437703 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: KITSAP CREDIT UNION - UNITED STATES
437704 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: AEON CREDIT SERVICE (M) BERHAD - MALAYSIA
437705 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: PATRIOT BANK, NATIONAL ASSOCIATION - UNITED STATES
437706 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: BANK OF BARODA - INDIA
437707 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: PT. ANZ PANIN BANK - INDONESIA
437708 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANQUE POUR LE COMMERCE ET L&#039;INDUSTRIE - MAURITANIA
437709 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: GULF BANK ALGERIA - ALGERIA
437710 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: GULF BANK ALGERIA - ALGERIA
437711 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: GULF BANK ALGERIA - ALGERIA
437712 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: JORDAN CREDIT UNION - UNITED STATES
437713 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: METROPOLITAN COMMERCIAL BANK - UNITED STATES
437714 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: METROPOLITAN COMMERCIAL BANK - UNITED STATES
437715 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: KANE COUNTY TEACHERS CREDIT UNION - UNITED STATES
437716 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: PT. ANZ PANIN BANK - INDONESIA
437717 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO COMERCIAL DE MACAU, S.A. - MACAU
437718 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: PT. ANZ PANIN BANK - INDONESIA
437719 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: ALATRUST CREDIT UNION - UNITED STATES
437720 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: LG CARD CO., LTD. - KOREA, REPUBLIC OF
437721 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: STANDARD CHARTERED BANK (TAIWAN), LTD. - TAIWAN, PROVINCE OF CHINA
437722 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: STANDARD CHARTERED BANK (TAIWAN), LTD. - TAIWAN, PROVINCE OF CHINA
437723 - TYPE:  CREDIT  | LEVEL:  BUSINESS ENHANCED  | BANK: STANDARD CHARTERED BANK (TAIWAN), LTD. - TAIWAN, PROVINCE OF CHINA
437724 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: TAICHUNG COMMERCIAL BANK - TAIWAN, PROVINCE OF CHINA
437725 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: TAICHUNG COMMERCIAL BANK - TAIWAN, PROVINCE OF CHINA
437726 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: SOUTH CENTRAL STATE BANK - UNITED STATES
437727 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: POSTEL FAMILY CREDIT UNION - UNITED STATES
437728 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: KUWAIT FINANCE HOUSE (MALAYSIA) BERHAD - MALAYSIA
